Ca,Na,Si,K,Mg,F-,Cl-,Br-,SO-,Li,Be,B,Al,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,As,Rb,Sr,Y,Mo,Cd,Sb,Cs,Ba,Pb,pH
6752.149773,27577.29492,62.09024191,4029.183483,92.74792671,26.4,60377.22,172.73,133.5,194.4699124,0.026643344,41.94882313,0.16036633,0.001097272,0.003192382,20.25317538,21.6050753,0.003475536,0.005575715,0.023924142,9.322517661,0.000727806,11.34793821,27.90588011,438.0364042,0.003152685,0.004001914,0.022975222,0.185235171,16.7226066,33.53485786,0.770037829,8.19
6806.678009,28339.67285,13.23123313,4160.704136,58.5624218,13.34,62782.94,181.45,127.37,205.9686295,0.0001,40.68402196,0.157093167,0.001105965,0.002720173,0.4508678,0.478906981,0.000588249,0.004192911,0.020467912,5.019627754,2.00E-06,6.233823494,29.4243407,457.7421415,0.003006744,0.004397335,0.002683351,0.096657236,17.5778205,33.73303592,0.017478411,8.27
6891.252136,28737.99133,11.56964153,4209.733486,57.80946761,13.13,61461.59,176.05,122.51,189.0677163,0.0001,40.70380595,0.211242507,0.001187839,0.002941992,0.281988938,0.626765739,0.000630051,0.005134766,0.020928599,4.510079867,3.00E-06,5.215674316,28.56214455,431.9675577,0.002909709,0.004002676,0.00258381,0.093737367,16.33276978,32.11057873,0.016504626,8.19
6090.526772,25174.86877,23.94626364,3667.257786,59.4708547,13.47,54316.61,151.16,107.14,173.6093084,0.008972048,35.34773065,0.1779816,0.000931669,0.003041234,5.914571956,6.576599398,0.001354331,0.005197235,0.021154707,5.682112447,0.000198837,5.859306583,25.04380732,389.4901441,0.002646553,0.003791548,0.007832104,0.112177752,14.84028906,28.79014027,0.210937638,8.25
7037.715912,29129.79813,11.9600147,4347.801304,57.45838434,13.12,62872.31,173.49,121.52,204.0249129,0.002744661,39.82053482,0.153135812,0.001107242,0.003002007,1.24555342,1.671162747,0.000767472,0.005448394,0.021470188,5.024433145,2.00E-06,4.842258255,29.01951311,453.3801604,0.002994757,0.0040467,0.003203572,0.104898782,17.37215621,33.38294148,0.056092324,8.19
7368.269348,28451.39465,92.62404442,4280.173016,111.1683458,16.14,61659.14,178.18,143.82,192.2108463,0.038538179,45.92319291,0.205046311,0.001272924,0.003209728,30.73785949,32.50039819,0.004905456,0.006839092,0.02150252,9.362078899,0.001112551,13.81134788,29.1977606,457.2158555,0.003094507,0.004207538,0.034358923,0.18309074,16.82610213,34.04428121,0.809002442,5.13
7251.569939,28108.91647,92.30107069,4254.525661,111.2450212,15.98,63127.29,173.36,139.01,196.7076553,0.036687127,44.22521595,0.169447917,0.001300817,0.00342069,31.182128,32.93944982,0.004925973,0.005799764,0.004973741,9.196173125,0.000853562,13.88314088,29.42726663,461.6384002,0.003469466,0.004248099,0.034402247,0.187429254,18.3502844,35.50525876,0.799208302,5.19
7044.854736,27249.25919,88.28780651,4109.248066,106.8875313,16.08,61906.94,174.49,137.07,193.0740278,0.03862765,46.2824479,0.182231089,0.001200088,0.00277929,30.57564537,32.42905537,0.005045754,0.007306015,0.008989593,8.909838603,0.001008829,13.65828532,29.02946814,452.6587457,0.003151577,0.004252225,0.033565768,0.186817211,16.9021859,34.10981534,0.783037392,5.26
7223.169136,28174.95117,89.40234482,4227.24123,109.0544254,16.3,63463.23,183.04,146.04,203.7684518,0.037374753,44.50770288,0.205967913,0.001120221,0.00300223,30.55792597,32.3534336,0.004859628,0.006148333,0.006352671,9.210797068,0.001297783,13.90560978,29.51025108,464.4776996,0.003083281,0.00426819,0.035117209,0.191228225,17.73486516,35.74498181,0.827960618,5.77
6910.25219,26401.79443,87.43415773,4017.531109,105.0824404,16.47,61935.36,174.83,141.81,192.8534327,0.029859017,43.984331,0.17941522,0.001324977,0.003339822,30.58655012,29.06656101,0.004844942,0.005959824,0.00655773,8.887544892,0.001058516,13.17282425,28.90205329,448.128889,0.003287758,0.004291057,0.034499105,0.173425802,17.99262744,34.77740668,0.669611114,6.24
